    id    power(W) source(n/s)
   106 2.85361E+00 1.47083E+09
   107 2.85361E+00 1.47083E+09
    77 2.39191E+00 1.23324E+09
    78 2.39191E+00 1.23324E+09
    82 2.39191E+00 1.23324E+09
    83 2.39191E+00 1.23324E+09
   102 2.85361E+00 1.47083E+09
   103 2.85361E+00 1.47083E+09
   107 2.85361E+00 1.47083E+09
   108 2.85361E+00 1.47083E+09
    78 2.39191E+00 1.23324E+09
    79 2.39191E+00 1.23324E+09
    83 2.39191E+00 1.23324E+09
    84 2.39191E+00 1.23324E+09
   103 2.85361E+00 1.47083E+09
   104 2.85361E+00 1.47083E+09
   108 2.85361E+00 1.47083E+09
   109 2.85361E+00 1.47083E+09
    80 2.39191E+00 1.23324E+09
    81 2.39191E+00 1.23324E+09
    85 2.39191E+00 1.23324E+09
    86 2.39191E+00 1.23324E+09
   105 2.85361E+00 1.47083E+09
   106 2.85361E+00 1.47083E+09
   110 2.85361E+00 1.47083E+09
   111 2.85361E+00 1.47083E+09
    81 2.39191E+00 1.23324E+09
    82 2.39191E+00 1.23324E+09
    86 2.39191E+00 1.23324E+09
    87 2.39191E+00 1.23324E+09
   106 2.85361E+00 1.47083E+09
   107 2.85361E+00 1.47083E+09
   111 2.85361E+00 1.47083E+09
   112 2.85361E+00 1.47083E+09
    82 2.39191E+00 1.23324E+09
    83 2.39191E+00 1.23324E+09
    87 2.39191E+00 1.23324E+09
    88 2.39191E+00 1.23324E+09
   107 2.85361E+00 1.47083E+09
   108 2.85361E+00 1.47083E+09
   112 2.85361E+00 1.47083E+09
   113 2.85361E+00 1.47083E+09
    83 2.39191E+00 1.23324E+09
    84 2.39191E+00 1.23324E+09
    88 2.39191E+00 1.23324E+09
    89 2.39191E+00 1.23324E+09
   108 2.85361E+00 1.47083E+09
   109 2.85361E+00 1.47083E+09
   113 2.85361E+00 1.47083E+09
   114 2.85361E+00 1.47083E+09
    85 2.39191E+00 1.23324E+09
    86 2.39191E+00 1.23324E+09
    90 2.39191E+00 1.23324E+09
    91 2.39191E+00 1.23324E+09
   110 2.85361E+00 1.47083E+09
   111 2.85361E+00 1.47083E+09
   115 2.85361E+00 1.47083E+09
   116 2.85361E+00 1.47083E+09
    86 2.39191E+00 1.23324E+09
    87 2.39191E+00 1.23324E+09
    91 2.39191E+00 1.23324E+09
    92 2.39191E+00 1.23324E+09
   111 2.85361E+00 1.47083E+09
   112 2.85361E+00 1.47083E+09
   116 2.85361E+00 1.47083E+09
   117 2.85361E+00 1.47083E+09
    87 2.39191E+00 1.23324E+09
    88 2.39191E+00 1.23324E+09
    92 2.39191E+00 1.23324E+09
    93 2.39191E+00 1.23324E+09
   112 2.85361E+00 1.47083E+09
   113 2.85361E+00 1.47083E+09
   117 2.85361E+00 1.47083E+09
   118 2.85361E+00 1.47083E+09
    88 2.39191E+00 1.23324E+09
    89 2.39191E+00 1.23324E+09
    93 2.39191E+00 1.23324E+09
    94 2.39191E+00 1.23324E+09
   113 2.85361E+00 1.47083E+09
   114 2.85361E+00 1.47083E+09
   118 2.85361E+00 1.47083E+09
   119 2.85361E+00 1.47083E+09
    90 2.39191E+00 1.23324E+09
    91 2.39191E+00 1.23324E+09
    95 2.39191E+00 1.23324E+09
    96 2.39191E+00 1.23324E+09
   115 2.85361E+00 1.47083E+09
   116 2.85361E+00 1.47083E+09
   120 2.85361E+00 1.47083E+09
   121 2.85361E+00 1.47083E+09
    91 2.39191E+00 1.23324E+09
    92 2.39191E+00 1.23324E+09
    96 2.39191E+00 1.23324E+09
    97 2.39191E+00 1.23324E+09
   116 2.85361E+00 1.47083E+09
   117 2.85361E+00 1.47083E+09
   121 2.85361E+00 1.47083E+09
   122 2.85361E+00 1.47083E+09
    92 2.39191E+00 1.23324E+09
    93 2.39191E+00 1.23324E+09
    97 2.39191E+00 1.23324E+09
    98 2.39191E+00 1.23324E+09
   117 2.85361E+00 1.47083E+09
   118 2.85361E+00 1.47083E+09
   122 2.85361E+00 1.47083E+09
   123 2.85361E+00 1.47083E+09
    93 2.39191E+00 1.23324E+09
    94 2.39191E+00 1.23324E+09
    98 2.39191E+00 1.23324E+09
    99 2.39191E+00 1.23324E+09
   118 2.85361E+00 1.47083E+09
   119 2.85361E+00 1.47083E+09
   123 2.85361E+00 1.47083E+09
   124 2.85361E+00 1.47083E+09
   100 2.85361E+00 1.47083E+09
   101 2.85361E+00 1.47083E+09
   105 2.85361E+00 1.47083E+09
   106 2.85361E+00 1.47083E+09
   125 3.29075E+00 1.69581E+09
   126 3.29075E+00 1.69581E+09
   130 3.29075E+00 1.69581E+09
   131 3.29075E+00 1.69581E+09
   101 2.85361E+00 1.47083E+09
   102 2.85361E+00 1.47083E+09
   106 2.85361E+00 1.47083E+09
   107 2.85361E+00 1.47083E+09
   126 3.29075E+00 1.69581E+09
   127 3.29075E+00 1.69581E+09
   131 3.29075E+00 1.69581E+09
   132 3.29075E+00 1.69581E+09
   102 2.85361E+00 1.47083E+09
   103 2.85361E+00 1.47083E+09
   107 2.85361E+00 1.47083E+09
   108 2.85361E+00 1.47083E+09
   127 3.29075E+00 1.69581E+09
   128 3.29075E+00 1.69581E+09
   132 3.29075E+00 1.69581E+09
   133 3.29075E+00 1.69581E+09
   103 2.85361E+00 1.47083E+09
   104 2.85361E+00 1.47083E+09
   108 2.85361E+00 1.47083E+09
   109 2.85361E+00 1.47083E+09
   128 3.29075E+00 1.69581E+09
   129 3.29075E+00 1.69581E+09
   133 3.29075E+00 1.69581E+09
   134 3.29075E+00 1.69581E+09
   105 2.85361E+00 1.47083E+09
   106 2.85361E+00 1.47083E+09
   110 2.85361E+00 1.47083E+09
   111 2.85361E+00 1.47083E+09
   130 3.29075E+00 1.69581E+09
   131 3.29075E+00 1.69581E+09
   135 3.29075E+00 1.69581E+09
   136 3.29075E+00 1.69581E+09
   106 2.85361E+00 1.47083E+09
   107 2.85361E+00 1.47083E+09
   111 2.85361E+00 1.47083E+09
   112 2.85361E+00 1.47083E+09
   131 3.29075E+00 1.69581E+09
   132 3.29075E+00 1.69581E+09
   136 3.29075E+00 1.69581E+09
   137 3.29075E+00 1.69581E+09
   107 2.85361E+00 1.47083E+09
   108 2.85361E+00 1.47083E+09
   112 2.85361E+00 1.47083E+09
   113 2.85361E+00 1.47083E+09
   132 3.29075E+00 1.69581E+09
   133 3.29075E+00 1.69581E+09
   137 3.29075E+00 1.69581E+09
   138 3.29075E+00 1.69581E+09
   108 2.85361E+00 1.47083E+09
   109 2.85361E+00 1.47083E+09
   113 2.85361E+00 1.47083E+09
   114 2.85361E+00 1.47083E+09
   133 3.29075E+00 1.69581E+09
   134 3.29075E+00 1.69581E+09
   138 3.29075E+00 1.69581E+09
   139 3.29075E+00 1.69581E+09
   110 2.85361E+00 1.47083E+09
   111 2.85361E+00 1.47083E+09
   115 2.85361E+00 1.47083E+09
   116 2.85361E+00 1.47083E+09
   135 3.29075E+00 1.69581E+09
   136 3.29075E+00 1.69581E+09
   140 3.29075E+00 1.69581E+09
   141 3.29075E+00 1.69581E+09
   111 2.85361E+00 1.47083E+09
   112 2.85361E+00 1.47083E+09
   116 2.85361E+00 1.47083E+09
   117 2.85361E+00 1.47083E+09
   136 3.29075E+00 1.69581E+09
   137 3.29075E+00 1.69581E+09
   141 3.29075E+00 1.69581E+09
   142 3.29075E+00 1.69581E+09
   112 2.85361E+00 1.47083E+09
   113 2.85361E+00 1.47083E+09
   117 2.85361E+00 1.47083E+09
   118 2.85361E+00 1.47083E+09
   137 3.29075E+00 1.69581E+09
   138 3.29075E+00 1.69581E+09
   142 3.29075E+00 1.69581E+09
   143 3.29075E+00 1.69581E+09
   113 2.85361E+00 1.47083E+09
   114 2.85361E+00 1.47083E+09
   118 2.85361E+00 1.47083E+09
   119 2.85361E+00 1.47083E+09
   138 3.29075E+00 1.69581E+09
   139 3.29075E+00 1.69581E+09
   143 3.29075E+00 1.69581E+09
   144 3.29075E+00 1.69581E+09
   115 2.85361E+00 1.47083E+09
   116 2.85361E+00 1.47083E+09
   120 2.85361E+00 1.47083E+09
   121 2.85361E+00 1.47083E+09
   140 3.29075E+00 1.69581E+09
   141 3.29075E+00 1.69581E+09
   145 3.29075E+00 1.69581E+09
   146 3.29075E+00 1.69581E+09
   116 2.85361E+00 1.47083E+09
   117 2.85361E+00 1.47083E+09
   121 2.85361E+00 1.47083E+09
   122 2.85361E+00 1.47083E+09
   141 3.29075E+00 1.69581E+09
   142 3.29075E+00 1.69581E+09
   146 3.29075E+00 1.69581E+09
   147 3.29075E+00 1.69581E+09
   117 2.85361E+00 1.47083E+09
   118 2.85361E+00 1.47083E+09
   122 2.85361E+00 1.47083E+09
   123 2.85361E+00 1.47083E+09
   142 3.29075E+00 1.69581E+09
   143 3.29075E+00 1.69581E+09
   147 3.29075E+00 1.69581E+09
   148 3.29075E+00 1.69581E+09
   118 2.85361E+00 1.47083E+09
   119 2.85361E+00 1.47083E+09
   123 2.85361E+00 1.47083E+09
   124 2.85361E+00 1.47083E+09
   143 3.29075E+00 1.69581E+09
   144 3.29075E+00 1.69581E+09
   148 3.29075E+00 1.69581E+09
   149 3.29075E+00 1.69581E+09
   125 3.29075E+00 1.69581E+09
   126 3.29075E+00 1.69581E+09
   130 3.29075E+00 1.69581E+09
   131 3.29075E+00 1.69581E+09
   150 3.70111E+00 1.90702E+09
